date,tournament,team,scored_goals,matches,conceded_goals,continent
2005,Friendly,Chile,4.0,2.0,3.0,Americas
2005,Other,Chile,8.0,7.0,11.0,Americas
2005,Friendly,China,4.0,6.0,9.0,Asia
2005,Other,China,5.0,3.0,3.0,Asia
2005,Friendly,Colombia,6.0,5.0,9.0,Americas
2005,Other,Colombia,19.0,12.0,12.0,Americas
2005,Friendly,Congo,0.0,2.0,2.0,Africa
2005,Other,Congo,5.0,6.0,7.0,Africa
2005,Friendly,Costa Rica,8.0,6.0,13.0,Americas
2005,Other,Costa Rica,29.0,18.0,20.0,Americas
2005,Friendly,Croatia,4.0,3.0,6.0,Europe
2005,Other,Croatia,15.0,7.0,3.0,Europe
2005,Other,Cuba,10.0,8.0,12.0,Americas
2005,Friendly,Cyprus,5.0,3.0,2.0,Asia
2005,Other,Cyprus,6.0,7.0,12.0,Asia
2005,Other,Czech Republic,31.0,10.0,10.0,Europe
2005,Friendly,DR Congo,12.0,9.0,14.0,Africa
2005,Other,DR Congo,9.0,5.0,6.0,Africa
2005,Friendly,Denmark,5.0,2.0,1.0,Europe
2005,Other,Denmark,18.0,8.0,8.0,Europe
2005,Other,Djibouti,2.0,4.0,18.0,Africa
2005,Friendly,Ecuador,13.0,10.0,13.0,Americas
2005,Other,Ecuador,11.0,7.0,8.0,Americas
2005,Friendly,Egypt,17.0,10.0,6.0,Africa
2005,Other,Egypt,15.0,5.0,6.0,Africa
2005,Other,El Salvador,1.0,2.0,3.0,Americas
2005,Friendly,England,9.0,5.0,9.0,Europe
2005,Other,England,10.0,6.0,2.0,Europe
2005,Other,Eritrea,2.0,3.0,4.0,Africa
2005,Friendly,Estonia,5.0,5.0,10.0,Europe
2005,Other,Estonia,8.0,7.0,6.0,Europe
2005,Other,Ethiopia,13.0,5.0,2.0,Africa
2005,Other,Falkland Islands,1.0,2.0,11.0,Americas
2005,Other,Faroe Islands,2.0,6.0,15.0,Europe
2005,Friendly,Fiji,3.0,2.0,1.0,Oceania
2005,Friendly,Finland,7.0,4.0,4.0,Europe
2005,Other,Finland,15.0,9.0,15.0,Europe
2005,Friendly,France,9.0,5.0,4.0,Europe
2005,Other,France,10.0,6.0,2.0,Europe
2005,Other,French Guiana,0.0,2.0,5.0,Americas
2005,Friendly,Gabon,0.0,2.0,1.0,Africa
2005,Other,Gabon,3.0,5.0,6.0,Africa
2005,Friendly,Gambia,2.0,2.0,4.0,Africa
2005,Friendly,Georgia,6.0,3.0,8.0,Asia
2005,Other,Georgia,9.0,8.0,20.0,Asia
2005,Friendly,Germany,17.0,10.0,13.0,Europe
2005,Other,Germany,15.0,5.0,11.0,Europe
2005,Other,Ghana,11.0,5.0,2.0,Africa
2005,Friendly,Gibraltar,4.0,1.0,0.0,Europe
2005,Friendly,Greece,2.0,2.0,3.0,Europe
2005,Other,Greece,10.0,11.0,9.0,Europe
2005,Other,Greenland,2.0,2.0,9.0,Americas
2005,Other,Guam,1.0,3.0,40.0,Oceania
2005,Friendly,Guatemala,5.0,6.0,10.0,Americas
2005,Other,Guatemala,30.0,18.0,32.0,Americas
2005,Friendly,Guernsey,3.0,2.0,3.0,Europe
2005,Friendly,Guinea,6.0,4.0,9.0,Africa
2005,Other,Guinea,9.0,7.0,7.0,Africa
2005,Other,Guinea-Bissau,3.0,2.0,3.0,Africa
2005,Friendly,Guyana,9.0,3.0,3.0,Americas
2005,Other,Haiti,1.0,2.0,2.0,Americas
2005,Other,Honduras,20.0,10.0,9.0,Americas
2005,Friendly,Hong Kong,8.0,1.0,1.0,Asia
2005,Other,Hong Kong,22.0,4.0,9.0,Asia
2005,Friendly,Hungary,6.0,7.0,10.0,Europe
2005,Other,Hungary,8.0,6.0,6.0,Europe
2005,Friendly,Iceland,6.0,3.0,4.0,Europe
2005,Other,Iceland,10.0,6.0,17.0,Europe
2005,Other,India,9.0,5.0,2.0,Asia
2005,Other,Indonesia,6.0,3.0,6.0,Asia
2005,Friendly,Iran,10.0,5.0,4.0,Asia
2005,Other,Iran,7.0,6.0,3.0,Asia
2005,Friendly,Iraq,18.0,10.0,9.0,Asia
2005,Friendly,Israel,5.0,3.0,6.0,Asia
2005,Other,Israel,9.0,6.0,6.0,Asia
2005,Friendly,Italy,10.0,7.0,5.0,Europe
2005,Other,Italy,10.0,6.0,3.0,Europe
2005,Friendly,Ivory Coast,5.0,4.0,7.0,Africa
2005,Other,Ivory Coast,10.0,5.0,4.0,Africa
2005,Friendly,Jamaica,3.0,4.0,6.0,Americas
2005,Other,Jamaica,17.0,9.0,11.0,Americas
2005,Friendly,Japan,15.0,6.0,7.0,Asia
2005,Other,Japan,16.0,14.0,13.0,Asia
2005,Friendly,Jersey,3.0,2.0,3.0,Europe
2005,Friendly,Jordan,3.0,5.0,6.0,Asia
2005,Other,Kazakhstan,4.0,8.0,19.0,Asia
2005,Friendly,Kenya,3.0,2.0,3.0,Africa
2005,Other,Kenya,2.0,7.0,12.0,Africa
2005,Friendly,Kuwait,8.0,8.0,7.0,Asia
2005,Other,Kuwait,4.0,6.0,13.0,Asia
2005,Friendly,Latvia,3.0,2.0,5.0,Europe
2005,Other,Latvia,14.0,13.0,17.0,Europe
2005,Friendly,Lesotho,4.0,3.0,7.0,Africa
2005,Other,Lesotho,1.0,1.0,2.0,Africa
2005,Other,Liberia,2.0,5.0,20.0,Africa
2005,Friendly,Libya,4.0,5.0,8.0,Africa
2005,Other,Libya,1.0,5.0,6.0,Africa
2005,Friendly,Liechtenstein,1.0,1.0,2.0,Europe
2005,Other,Liechtenstein,5.0,7.0,9.0,Europe
2005,Friendly,Lithuania,1.0,2.0,1.0,Europe
2005,Other,Lithuania,4.0,7.0,8.0,Europe
